From	To
Q15772	SPEG
Q15822	CHRNA2
Q15831	STK11
Q15833	STXBP2
Q15835	GRK1
Q15842	KCNJ8
Q15848	ADIPOQ
Q15858	SCN9A
Q15910	EZH2
Q15915	ZIC1
Q15928	ZNF141
Q16134	ETFDH
Q16281	CNGA3
Q16288	NTRK3
Q16363	LAMA4
Q16394	EXT1
Q16518	RPE65
Q16585	SGCB
Q16586	SGCA
Q16595	FXN
Q16610	ECM1
Q16620	NTRK2
Q16625	OCLN
Q16635	TAZ
Q16637	SMN1
Q16637	SMN2
Q16653	MOG
Q16667	CDKN3
Q16671	AMHR2
Q16678	CYP1B1
Q16719	KYNU
Q16720	ATP2B3
Q16740	CLPP
Q16821	PPP1R3A
Q16828	DUSP6
Q16832	DDR2
Q16836	HADH
Q16854	DGUOK
Q17R60	IMPG1
Q18PE1	DOK7
Q27J81	INF2
Q2I0M5	RSPO4
Q2M1K9	ZNF423
Q2M1P5	KIF7
Q2M389	WASHC4
Q2NKJ3	CTC1
Q2TAA5	ALG11
Q2TBA0	KLHL40
Q2WEN9	CEACAM16
Q2YD98	UVSSA
Q30201	HFE
Q32P41	TRMT5
Q330K2	NDUFAF6
Q3SXY7	LRIT3
Q3SXY8	ARL13B
Q3SY84	KRT71
Q3SYG4	BBS9
Q3T906	GNPTAB
Q495M3	SLC36A2
Q495M9	USH1G
Q49MI3	CERKL
Q4AC94	C2CD3
Q4G176	ACSF3
Q4KMG0	CDON
Q4LDG9	DNAL1
Q502W6	VWA3B
Q53GS7	GLE1
Q562E7	WDR81
Q56NI9	ESCO2
Q59H18	TNNI3K
Q5FBB7	SGO1
Q5H8C1	FREM1
Q5HYA8	TMEM67
Q5IJ48	CRB2
Q5JPH6	EARS2
Q5JTJ3	COA6
Q5JTZ9	AARS2
Q5JU85	IQSEC2
Q5JUK3	KCNT1
Q5JVL4	EFHC1
Q5JWF2	GNAS
Q5K651	SAMD9
Q5NDL2	EOGT
Q5S007	LRRK2
Q5SQQ9	VAX1
Q5ST30	VARS2
Q5SV17	TMEM240
Q5SW96	LDLRAP1
Q5SZK8	FREM2
Q5T1H1	EYS
Q5T1V6	DDX59
Q5T2R2	PDSS1
Q5T2S8	ARMC4
Q5T440	IBA57
Q5T442	GJC2
Q5T481	RBM20
Q5T4F4	ZFYVE27
Q5T6L9	ERMARD
Q5TAQ9	DCAF8
Q5TBB1	RNASEH2B
Q5TD94	RSPH4A
Q5TEU4	NDUFAF5
Q5U5X0	LYRM7
Q5VIR6	VPS53
Q63HN8	RNF213
Q63ZY3	KANK2
Q68CP4	HGSNAT
Q68CZ1	RPGRIP1L
Q68DC2	ANKS6
Q695T7	SLC6A19
Q69YQ0	SPECC1L
Q6DD88	ATL3
Q6EMB2	TTLL5
Q6IEE7	TMEM132E
Q6ISB3	GRHL2
Q6JEL2	KLHL10
Q6KC79	NIPBL
Q6KF10	GDF6
Q6NT55	CYP4F22
Q6NUS6	TCTN3
Q6NVY1	HIBCH
Q6NXR4	TTI2
Q6P1J9	CDC73
Q6P1M0	SLC27A4
Q6P1X5	TAF2
Q6P2Q9	PRPF8
Q6P4Q7	CNNM4
Q6P5W5	SLC39A4
Q6PGP7	TTC37
Q6PHW0	IYD
Q6PI48	DARS2
Q6PIJ6	FBXO38
Q6PJF5	RHBDF2
Q6PRD1	GPR179
Q6RI45	BRWD3
Q6SJ93	FAM111B
Q6UVJ0	SASS6
Q6UW78	UQCC3
Q6UWZ7	ABRAXAS1
Q6UXH8	CCBE1
Q6V0I7	FAT4
Q6VVB1	NHLRC1
Q6VVX0	CYP2R1
Q6VY07	PACS1
Q6W2J9	BCOR
Q6X4W1	NSMF
Q6XR72	SLC30A10
Q6XUX3	DSTYK
Q6XZB0	LIPI
Q6Y7W6	GIGYF2
Q6ZMH5	SLC39A5
Q6ZNJ1	NBEAL2
Q6ZRI0	OTOG
Q6ZRV2	FAM83H
Q6ZUT3	FRMD7
Q6ZVD7	STOX1
Q6ZVN8	HJV
Q6ZW61	BBS12
Q6ZWL3	CYP4V2
Q6ZYL4	GTF2H5
Q719H9	KCTD1
Q71F56	MED13L
Q71SY5	MED25
Q71U36	TUBA1A
Q75V66	ANO5
Q76LX8	ADAMTS13
Q7KZN9	COX15
Q7L5A8	FA2H
Q7LDG7	RASGRP2
Q7LG56	RRM2B
Q7LGC8	CHST3
Q7RTP0	NIPA1
Q7RTS7	KRT74
Q7RTS9	DYM
Q7RTU4	BHLHA9
Q7Z2E3	APTX
Q7Z333	SETX
Q7Z392	TRAPPC11
Q7Z3K3	POGZ
Q7Z3V4	UBE3B
Q7Z406	MYH14
Q7Z412	PEX26
Q7Z449	CYP2U1
Q7Z494	NPHP3
Q7Z4L5	TTC21B
Q7Z4N2	TRPM1
Q7Z4S6	KIF21A
Q7Z699	SPRED1
Q7Z6B7	SRGAP1
Q7Z6J9	TSEN54
Q7Z6L0	PRRT2
Q7Z6Z7	HUWE1
Q7Z7B1	PIGW
Q7Z7G8	VPS13B
Q7Z7M0	MEGF8
Q86SG6	NEK8
Q86SQ4	ADGRG6
Q86SQ9	DHDDS
Q86SU0	ILDR1
Q86SX6	GLRX5
Q86TC9	MYPN
Q86TH1	ADAMTSL2
Q86U28	ISCA2
Q86UK0	ABCA12
Q86UK5	EVC2
Q86UR5	RIMS1
Q86VV8	RTTN
Q86W42	THOC6
Q86WG3	ATCAY
Q86WV6	STING1
Q86WW8	COA5
Q86X45	LRRC6
Q86X52	CHSY1
Q86XE5	HOGA1
Q86Y38	XYLT1
Q86Y56	DNAAF5
Q86YH6	PDSS2
Q86YT6	MIB1
Q8HWS3	RFX6
Q8IU80	TMPRSS6
Q8IUC6	TICAM1
Q8IUD6	RNF135
Q8IUZ5	PHYKPL
Q8IV16	GPIHBP1
Q8IVH4	MMAA
Q8IVL5	P3H2
Q8IVS8	GLYCTK
Q8IW40	CCDC103
Q8IWL1	SFTPA2
Q8IWN7	RP1L1
Q8IWS0	PHF6
Q8IWT1	SCN4B
Q8IWU9	TPH2
Q8IWV7	UBR1
Q8IWX7	UNC45B
Q8IWY9	CDAN1
Q8IWZ6	BBS7
Q8IXK2	GALNT12
Q8IXL6	FAM20C
Q8IXL7	MSRB3
Q8IXQ5	KLHL7
Q8IY17	PNPLA6
Q8IYB7	DIS3L2
Q8IYF3	TEX11
Q8IYM1	SEPTIN12
Q8IZC6	COL27A1
Q8IZF0	NALCN
Q8IZU9	KIRREL3
Q8J025	APCDD1
Q8N0V5	GCNT2
Q8N100	ATOH7
Q8N130	SLC34A3
Q8N157	AHI1
Q8N159	NAGS
Q8N196	SIX5
Q8N2C7	UNC80
Q8N2S1	LTBP4
Q8N302	AGGF1
Q8N335	GPD1L
Q8N3I7	BBS5
Q8N465	D2HGDH
Q8N490	PNKD
Q8N4C6	NIN
Q8N4T0	CPA6
Q8N511	TMEM199
Q8N5M1	ATPAF2
Q8N5M9	JAGN1
Q8N653	LZTR1
Q8N6C5	IGSF1
Q8N6F1	CLDN19
Q8N8E2	ZNF513
Q8N8U9	BMPER
Q8N8W4	PNPLA1
Q8N960	CEP120
Q8N9I0	SYT2
Q8N9W5	DNAAF3
Q8NA29	MFSD2A
Q8NAT1	POMGNT2
Q8NB59	SYT14
Q8NB90	SPATA5
Q8NBK3	SUMF1
Q8NBP7	PCSK9
Q8NBS3	SLC4A11
Q8NBT0	POC1A
Q8NCE0	TSEN2
Q8NCE2	MTMR14
Q8NCH0	CHST14
Q8NCM8	DYNC2H1
Q8NCR0	B3GALNT2
Q8NDX2	SLC17A8
Q8NE79	BVES
Q8NEM0	MCPH1
Q8NEP3	DNAAF1
Q8NES3	LFNG
Q8NET8	TRPV3
Q8NEW7	TMIE
Q8NEZ2	VPS37A
Q8NEZ3	WDR19
Q8NF50	DOCK8
Q8NF91	SYNE1
Q8NFF2	SLC24A4
Q8NFG4	FLCN
Q8NFJ6	PROKR2
Q8NFJ9	BBS1
Q8NFM7	IL17RD
Q8NG31	KNL1
Q8NHS3	MFSD8
Q8NI17	IL31RA
Q8NI22	MCFD2
Q8NI27	THOC2
Q8NI36	WDR36
Q8NI60	COQ8A
Q8TA86	RP9
Q8TAA9	VANGL1
Q8TAB3	PCDH19
Q8TAD8	SNIP1
Q8TAF8	LHFPL5
Q8TAM1	BBS10
Q8TAP9	MPLKIP
Q8TB36	GDAP1
Q8TB37	NUBPL
Q8TBB6	SLC7A14
Q8TBZ6	TRMT10A
Q8TC44	POC1B
Q8TCG5	CPT1C
Q8TCS8	PNPT1
Q8TD30	GPT2
Q8TD43	TRPM4
Q8TDI8	TMC1
Q8TDN2	KCNV2
Q8TDP1	RNASEH2C
Q8TDR0	TRAF3IP1
Q8TE60	ADAMTS18
Q8TE73	DNAH5
Q8TE85	GRHL3
Q8TEQ8	PIGO
Q8TF17	SH3TC2
Q8TF64	GIPC3
Q8WTS1	ABHD5
Q8WUU5	GATAD1
Q8WVJ9	TWIST2
Q8WVQ1	CANT1
Q8WVS4	DYNC2I1
Q8WVV4	POF1B
Q8WVX9	FAR1
Q8WW38	ZFPM2
Q8WWY3	PRPF31
Q8WWY8	LIPH
Q8WWZ3	EDARADD
Q8WX94	NLRP7
Q8WXD0	RXFP2
Q8WXF7	ATL1
Q8WXH0	SYNE2
Q8WXW3	PIBF1
Q8WYQ3	CHCHD10
Q8WYR1	PIK3R5
Q8WYR4	RSPH1
Q8WZ04	LRTOMT
Q8WZ55	BSND
Q8WZA1	POMGNT1
Q92466	DDB2
Q92481	TFAP2B
Q92508	PIEZO1
Q92539	LPIN2
Q92542	NCSTN
Q92562	FIG4
Q92574	TSC1
Q92608	DOCK2
Q92626	PXDN
Q92629	SGCD
Q92685	ALG3
Q92734	TFG
Q92736	RYR2
Q92743	HTRA1
Q92765	FRZB
Q92781	RDH5
Q92793	CREBBP
Q92826	HOXB13
Q92834	RPGR
Q92838	EDA
Q92847	GHSR
Q92851	CASP10
Q92887	ABCC2
Q92889	ERCC4
Q92908	GATA6
Q92911	SLC5A5
Q92915	FGF14
Q92947	GCDH
Q92959	SLCO2A1
Q92963	RIT1
Q92968	PEX13
Q92979	EMG1
Q92985	IRF7
Q92989	CLP1
Q92994	BRF1
Q93008	USP9X
Q93063	EXT2
Q93074	MED12
Q93099	HGD
Q93100	PHKB
Q969E8	TSR2
Q969F8	KISS1R
Q969F9	HPS3
Q969G2	LHX4
Q969N2	PIGT
Q969X6	UTP4
Q969Y2	GTPBP3
Q96A29	SLC35C1
Q96AA3	RFT1
Q96AD5	PNPLA2
Q96AG3	SLC25A46
Q96AP0	ACD
Q96AY3	FKBP10
Q96B26	EXOSC8
Q96C12	ARMC5
Q96C36	PYCR2
Q96C86	DCPS
Q96CU9	FOXRED1
Q96CV9	OPTN
Q96D31	ORAI1
Q96D53	COQ8B
Q96DA2	RAB39B
Q96DP5	MTFMT
Q96DT5	DNAH11
Q96DW6	SLC25A38
Q96DX4	RSPRY1
Q96E22	NUS1
Q96EN8	MOCOS
Q96EQ8	RNF125
Q96EX3	DYNC2I2
Q96EY8	MMAB
Q96EY9	ADAT3
Q96F25	ALG14
Q96F86	EDC3
Q96FC9	DDX11
Q96FG2	ELMOD3
Q96FM1	PGAP3
Q96G97	BSCL2
Q96GP6	SCARF2
Q96GW9	MARS2
Q96GX5	MASTL
Q96HD1	CRELD1
Q96HY7	DHTKD1
Q96I59	NARS2
Q96IJ6	GMPPA
Q96IS3	RAX2
Q96J92	WNK4
Q96JI7	SPG11
Q96JP9	CDHR1
Q96JQ0	DCHS1
Q96JX3	SERAC1
Q96K19	RNF170
Q96KG7	MEGF10
Q96KJ9	COX4I2
Q96KN7	RPGRIP1
Q96L12	CALR3
Q96L58	B3GALT6
Q96L73	NSD1
Q96LW4	PRIMPOL
Q96M11	HYLS1
Q96M96	FGD4
Q96MF2	STAC3
Q96MI9	AGBL1
Q96MK3	FAM20A
Q96MP8	KCTD7
Q96MS0	ROBO3
Q96MT3	PRICKLE1
Q96N76	UROC1
Q96NL8	C8orf37
Q96NR8	RDH12
Q96NT0	CCDC115
Q96NT5	SLC46A1
Q96NY8	NECTIN4
Q96P20	NLRP3
Q96P66	GPR101
Q96PC3	AP1S3
Q96PD4	IL17F
Q96PV0	SYNGAP1
Q96PY6	NEK1
Q96PZ2	FAM111A
Q96Q11	TRNT1
Q96QK1	VPS35
Q96QS3	ARX
Q96QU1	PCDH15
Q96RK4	BBS4
Q96RL7	VPS13A
Q96RN1	SLC26A8
Q96RP9	GFM1
Q96RQ3	MCCC1
Q96RR1	TWNK
Q96RW7	HMCN1
Q96RY7	IFT140
Q96S37	SLC22A12
Q96S42	NODAL
Q96SD1	DCLRE1C
Q96T21	SECISBP2
Q96T60	PNKP
Q99062	CSF3R
Q99081	TCF12
Q99217	AMELX
Q99250	SCN2A
Q99259	GAD1
Q99453	PHOX2B
Q99456	KRT12
Q99497	PARK7
Q99502	EYA1
Q99519	NEU1
Q99574	SERPINI1
Q99593	TBX5
Q99622	C12orf57
Q99650	OSMR
Q99684	GFI1
Q99697	PITX2
Q99698	LYST
Q99707	MTR
Q99708	RBBP8
Q99714	HSD17B10
Q99715	COL12A1
Q99720	SIGMAR1
Q99732	LITAF
Q99741	CDC6
Q99758	ABCA3
Q99798	ACO2
Q99814	EPAS1
Q99836	MYD88
Q99895	CTRC
Q99958	FOXC2
Q99959	PKP2
Q99972	MYOC
Q99996	AKAP9
Q9BPU9	B9D2
Q9BQ52	ELAC2
Q9BQB4	SOST
Q9BQB6	VKORC1
Q9BQL6	FERMT1
Q9BQP7	MGME1
Q9BQS8	FYCO1
Q9BR39	JPH2
Q9BRK0	REEP2
Q9BSI4	TINF2
Q9BSQ5	CCM2
Q9BSV6	TSEN34
Q9BT22	ALG1
Q9BTV4	TMEM43
Q9BU40	CHRDL1
Q9BU61	NDUFAF3
Q9BUB7	TMEM70
Q9BUM1	G6PC3
Q9BUR4	WRAP53
Q9BV10	ALG12
Q9BV36	MLPH
Q9BVA0	KATNB1
Q9BVA1	TUBB2B
Q9BVK2	ALG8
Q9BVV6	KIAA0586
Q9BW83	IFT27
Q9BW92	TARS2
Q9BWP8	COLEC11
Q9BWX5	GATA5
Q9BX63	BRIP1
Q9BX67	JAM3
Q9BX79	STRA6
Q9BX84	TRPM6
Q9BXB7	SPATA16
Q9BXC9	BBS2
Q9BXJ0	C1QTNF5
Q9BXJ7	AMN
Q9BXL6	CARD14
Q9BXL7	CARD11
Q9BXM0	PRX
Q9BXM7	PINK1
Q9BXS0	COL25A1
Q9BXW9	FANCD2
Q9BY32	ITPA
Q9BY41	HDAC8
Q9BY79	MFRP
Q9BYB0	SHANK3
Q9BYE0	HES7
Q9BYI3	FAM126A
Q9BYJ1	ALOXE3
Q9BYM8	RBCK1
Q9BYT1	SLC17A9
Q9BYT9	ANO3
Q9BYV8	CEP41
Q9BYX4	IFIH1
Q9BZ23	PANK2
Q9BZ71	PITPNM3
Q9BZD2	SLC29A3
Q9BZH6	WDR11
Q9BZI7	UPF3B
Q9BZS1	FOXP3
Q9BZV2	SLC19A3
Q9BZV3	IMPG2
Q9C000	NLRP1
Q9C004	SPRY4
Q9C040	TRIM2
Q9C0B1	FTO
Q9GZR5	ELOVL4
Q9GZT5	WNT10A
Q9GZT9	EGLN1
Q9GZU1	MCOLN1
Q9GZU5	NYX
Q9GZV9	FGF23
Q9GZX3	CHST6
Q9GZX7	AICDA
Q9H040	SPRTN
Q9H078	CLPB
Q9H082	RAB33B
Q9H0F7	ARL6
Q9H0P0	NT5C3A
Q9H161	ALX4
Q9H1B5	XYLT2
Q9H1R3	MYLK2
Q9H1V8	SLC6A17
Q9H211	CDT1
Q9H221	ABCG8
Q9H222	ABCG5
Q9H237	PORCN
Q9H244	P2RY12
Q9H251	CDH23
Q9H257	CARD9
Q9H267	VPS33B
Q9H2A9	CHST8
Q9H2C0	GAN
Q9H2D6	TRIOBP
Q9H2F3	HSD3B7
Q9H2M9	RAB3GAP2
Q9H2X9	SLC12A5
Q9H324	ADAMTS10
Q9H334	FOXP1
Q9H3D4	TP63
Q9H3H5	DPAGT1
Q9H3L0	MMADHC
Q9H3S1	SEMA4A
Q9H3S4	TPK1
Q9H3Z4	DNAJC5
Q9H444	CHMP4B
Q9H4B7	TUBB1
Q9H4F8	SMOC1
Q9H4G0	EPB41L1
Q9H4Q4	PRDM12
Q9H4Z2	ZNF335
Q9H553	ALG2
Q9H582	ZNF644
Q9H5I5	PIEZO2
Q9H5K3	POMK
Q9H694	BICC1
Q9H6B4	CLMP
Q9H6I2	SOX17
Q9H6K4	OPA3
Q9H6U8	ALG9
Q9H799	CPLANE1
Q9H845	ACAD9
Q9H8M5	CNNM2
Q9H902	REEP1
Q9H936	SLC25A22
Q9H9B1	EHMT1
Q9H9D4	ZNF408
Q9H9E3	COG4
Q9H9J2	MRPL44
Q9H9P8	L2HGDH
Q9H9Q4	NHEJ1
Q9H9S5	FKRP
Q9HA77	CARS2
Q9HAB3	SLC52A2
Q9HAC7	SUGCT
Q9HAN9	NMNAT1
Q9HAT2	SIAE
Q9HAV0	GNB4
Q9HAY6	BCO1
Q9HAZ2	PRDM16
Q9HBA0	TRPV4
Q9HBE4	IL21
Q9HBE5	IL21R
Q9HBG4	ATP6V0A4
Q9HBG6	IFT122
Q9HC07	TMEM165
Q9HC10	OTOF
Q9HC21	SLC25A19
Q9HC23	PROK2
Q9HC29	NOD2
Q9HC77	CENPJ
Q9HC78	ZBTB20
Q9HCC0	MCCC2
Q9HCE0	EPG5
Q9HCG7	GBA2
Q9HCJ1	ANKH
Q9HCJ5	ZSWIM6
Q9HCK4	ROBO2
Q9HCN6	GP6
Q9HD34	LYRM4
Q9HD40	SEPSECS
Q9NP58	ABCB6
Q9NP59	SLC40A1
Q9NP72	RAB18
Q9NP73	ALG13
Q9NP81	SARS2
Q9NP85	NPHS2
Q9NPC2	KCNK9
Q9NPC6	MYOZ2
Q9NPD8	UBE2T
Q9NPE3	NOP10
Q9NPI0	TMEM138
Q9NPJ1	MKKS
Q9NPP4	NLRC4
Q9NQ11	ATP13A2
Q9NQ40	SLC52A3
Q9NQ48	LZTFL1
Q9NQC7	CYLD
Q9NQT5	EXOSC3
Q9NQV8	PRDM8
Q9NQW6	ANLN
Q9NQW8	CNGB3
Q9NQX1	PRDM5
Q9NQX3	GPHN
Q9NQZ6	ZC4H2
Q9NR23	GDF3
Q9NR28	DIABLO
Q9NR50	EIF2B3
Q9NR61	DLL4
Q9NR63	CYP26B1
Q9NR99	MXRA5
Q9NRA2	SLC17A5
Q9NRD8	DUOX2
Q9NRG9	AAAS
Q9NRM0	SLC2A9
Q9NRM1	ENAM
Q9NRR6	INPP5E
Q9NRW7	VPS45
Q9NSB8	HOMER2
Q9NSE4	IARS2
Q9NSK7	C19orf12
Q9NSU2	TREX1
Q9NTI2	ATP8A2
Q9NTQ9	GJB4
Q9NUD9	PIGV
Q9NUQ7	UFSP2
Q9NUW8	TDP1
Q9NUX5	POT1
Q9NVC6	MED17
Q9NVI1	FANCI
Q9NVS9	PNPO
Q9NVV4	MTPAP
Q9NVV9	THAP1
Q9NW08	POLR3B
Q9NW13	RBM28
Q9NW15	ANO10
Q9NWF9	RNF216
Q9NWS8	RMND1
Q9NWW5	CLN6
Q9NWZ3	IRAK4
Q9NX18	SDHAF2
Q9NX24	NHP2
Q9NX62	BPNT2
Q9NXB0	MKS1
Q9NY72	SCN3B
Q9NYF0	DACT1
Q9NYJ7	DLL3
Q9NYJ8	TAB2
Q9NYP7	ELOVL5
Q9NYQ6	CELSR1
Q9NZ01	TECR
Q9NZ71	RTEL1
Q9NZ94	NLGN3
Q9NZB8	MOCS1
Q9NZC2	TREM2
Q9NZC7	WWOX
Q9NZC9	SMARCAL1
Q9NZJ4	SACS
Q9NZJ5	EIF2AK3
Q9NZK5	ADA2
Q9NZN9	AIPL1
Q9NZR4	VSX1
Q9NZU0	FLRT3
Q9NZV5	SELENON
Q9NZV8	KCND2
Q9NZW4	DSPP
Q9P032	NDUFAF4
Q9P0N5	TMEM216
Q9P212	PLCE1
Q9P219	CCDC88C
Q9P2D1	CHD7
Q9P2H3	IFT80
Q9P2J5	LARS1
Q9P2K1	CC2D2A
Q9P2K8	EIF2AK4
Q9P2L0	WDR35
Q9P2R7	SUCLA2
Q9P2X0	DPM3
Q9UBC3	DNMT3B
Q9UBD9	CLCF1
Q9UBF9	MYOT
Q9UBH0	IL36RN
Q9UBH6	XPR1
Q9UBK8	MTRR
Q9UBL9	P2RX2
Q9UBM7	DHCR7
Q9UBP0	SPAST
Q9UBR1	UPB1
Q9UBR4	LHX3
Q9UBV7	B4GALT7
Q9UBX0	HESX1
Q9UBX1	CTSF
Q9UBX5	FBLN5
Q9UBY8	CLN8
Q9UDY2	TJP2
Q9UDY8	MALT1
Q9UEF7	KL
Q9UG01	IFT172
Q9UGJ0	PRKAG2
Q9UH77	KLHL3
Q9UHB7	AFF4
Q9UHC1	MLH3
Q9UHD2	TBK1
Q9UHD8	SEPTIN9
Q9UHD9	UBQLN2
Q9UHF0	TAC3
Q9UHF7	TRPS1
Q9UHG0	DCDC2
Q9UHJ9	PGAP2
Q9UHK6	AMACR
Q9UHN1	POLG2
Q9UHX1	PUF60
Q9UI10	EIF2B4
Q9UI17	DMGDH
Q9UI33	SCN11A
Q9UI46	DNAI1
Q9UI47	CTNNA3
Q9UIF7	MUTYH
Q9UJ71	CD207
Q9UJA3	MCM8
Q9UJJ9	GNPTG
Q9UJQ4	SALL4
Q9UJS0	SLC25A13
Q9UJV3	MID2
Q9UJY1	HSPB8
Q9UK05	GDF2
Q9UK17	KCND3
Q9UKA2	FBXL4
Q9UKG1	APPL1
Q9UKM7	MAN1B1
Q9UKN7	MYO15A
Q9UKU7	ACAD8
Q9UKX2	MYH2
Q9UKY4	POMT2
Q9UL01	DSE
Q9UL12	SARDH
Q9ULC3	RAB23
Q9ULK4	MED23
Q9ULK5	VANGL2
Q9ULL8	SHROOM4
Q9ULP9	TBC1D24
Q9ULT0	TTC7A
Q9ULV0	MYO5B
Q9ULV1	FZD4
Q9ULV3	CIZ1
Q9ULV5	HSF4
Q9UM01	SLC7A7
Q9UM47	NOTCH3
Q9UM54	MYO6
Q9UM73	ALK
Q9UMD9	COL17A1
Q9UMR3	TBX20
Q9UMS0	NFU1
Q9UMX6	GUCA1B
Q9UMX9	SLC45A2
Q9UMZ3	PTPRQ
Q9UNE0	EDAR
Q9UNE7	STUB1
Q9UNW1	MINPP1
Q9UP52	TFR2
Q9UPI3	FLVCR2
Q9UPP1	PHF8
Q9UPQ8	DOLK
Q9UPV0	CEP164
Q9UPY3	DICER1
Q9UPZ3	HPS5
Q9UPZ9	CILK1
Q9UQ13	SHOC2
Q9UQ90	SPG7
Q9UQB3	CTNND2
Q9UQD0	SCN8A
Q9UQF2	MAPK8IP1
Q9UQN3	CHMP2B
Q9Y210	TRPC6
Q9Y215	COLQ
Q9Y223	GNE
Q9Y234	LIPT1
Q9Y243	AKT3
Q9Y253	POLH
Q9Y276	BCS1L
Q9Y281	CFL2
Q9Y283	INVS
Q9Y287	ITM2B
Q9Y2B1	RXYLT1
Q9Y2B2	PIGL
Q9Y2I7	PIKFYVE
Q9Y2M0	FAN1
Q9Y2R2	PTPN22
Q9Y2S0	POLR1D
Q9Y2V0	CDIN1
Q9Y2V3	RAX
Q9Y2V7	COG6
Q9Y2Y0	ARL2BP
Q9Y2Y6	TMEM98
Q9Y2Z2	MTO1
Q9Y2Z4	YARS2
Q9Y2Z9	COQ6
Q9Y345	SLC6A5
Q9Y397	ZDHHC9
Q9Y3A0	COQ4
Q9Y3A5	SBDS
Q9Y3D7	PAM16
Q9Y3E5	PTRH2
Q9Y3I1	FBXO7
Q9Y3Q4	HCN4
Q9Y3Z3	SAMHD1
Q9Y458	TBX22
Q9Y463	DYRK1B
Q9Y4J8	DTNA
Q9Y4U1	MMACHC
Q9Y4W6	AFG3L2
Q9Y4Z2	NEUROG3
Q9Y586	MAB21L2
Q9Y592	CEP83
Q9Y5I7	CLDN16
Q9Y5L0	TNPO3
Q9Y5N6	ORC6
Q9Y5P4	CERT1
Q9Y5Q3	MAFB
Q9Y5Q5	CORIN
Q9Y5U8	MPC1
Q9Y5U9	IER3IP1
Q9Y5X0	SNX10
Q9Y5X4	NR2E3
Q9Y5Y0	FLVCR1
Q9Y5Y5	PEX16
Q9Y5Y6	ST14
Q9Y5Y9	SCN10A
Q9Y5Z9	UBIAD1
Q9Y606	PUS1
Q9Y617	PSAT1
Q9Y619	SLC25A15
Q9Y653	ADGRG1
Q9Y672	ALG6
Q9Y698	CACNG2
Q9Y6A1	POMT1
Q9Y6B6	SAR1B
Q9Y6D5	ARFGEF2
Q9Y6H8	GJA3
Q9Y6J6	KCNE2
Q9Y6K1	DNMT3A
Q9Y6K9	IKBKG
Q9Y6N6	LAMC3
Q9Y6Q6	TNFRSF11A
Q9Y6R1	SLC4A4
Q9Y6X0	SETBP1
P42166	TMPO
Q5VWK5	IL23R
Q8IZT6	ASPM
