From	To
P00738	HP
P00740	F9
P00742	F10
P00746	CFD
P00747	PLG
P00748	F12
P00751	CFB
P00797	REN
P00813	ADA
P00918	CA2
P00966	ASS1
P00995	SPINK1
P01008	SERPINC1
P01019	AGT
P01024	C3
P01034	CST3
P01111	NRAS
P01112	HRAS
P01116	KRAS
P01127	PDGFB
P01130	LDLR
P01133	EGF
P01137	TGFB1
P01138	NGF
P01160	NPPA
P01185	AVP
P01213	PDYN
P01225	FSHB
P01229	LHB
P01241	GH1
P01266	TG
P01270	PTH
P01308	INS
P01589	IL2RA
P01732	CD8A
P02452	COL1A1
P02458	COL2A1
P02461	COL3A1
P02462	COL4A1
P02489	CRYAA
P02511	CRYAB
P02533	KRT14
P02538	KRT6A
P02545	LMNA
P02549	SPTA1
P02647	APOA1
P02649	APOE
P02655	APOC2
P02656	APOC3
P02671	FGA
P02675	FGB
P02679	FGG
P02708	CHRNA1
P02730	SLC4A1
P02746	C1QB
P02747	C1QC
P02748	C9
P02751	FN1
P02753	RBP4
P02766	TTR
P02768	ALB
P02787	TF
P02792	FTL
P03372	ESR1
P03950	ANG
P03951	F11
P03952	KLKB1
P03971	AMH
P03999	OPN1SW
P04000	OPN1LW
P04049	RAF1
P04062	GBA
P04066	FUCA1
P04070	PROC
P04075	ALDOA
P04080	CSTB
P04114	APOB
P04150	NR3C1
P04156	PRNP
P04180	LCAT
P04181	OAT
P04196	HRG
P04198	MYCN
P04259	KRT6B
P04264	KRT1
P04275	VWF
P04350	TUBB4A
P04424	ASL
P04628	WNT1
P04629	NTRK1
P04637	TP53
P04792	HSPB1
P04839	CYBB
P05062	ALDOB
P05067	APP
P05089	ARG1
P05093	CYP17A1
P05106	ITGB3
P05107	ITGB2
P05108	CYP11A1
P05129	PRKCG
P05155	SERPING1
P05156	CFI
P05160	F13B
P05164	MPO
P05165	PCCA
P05166	PCCB
P05186	ALPL
P05305	EDN1
P05543	SERPINA7
P05546	SERPIND1
P05549	TFAP2A
P05783	KRT18
P05787	KRT8
P05997	COL5A2
P06132	UROD
P06213	INSR
P06239	LCK
P06276	BCHE
P06280	GLA
P06396	GSN
P06400	RB1
P06681	C2
P06737	PYGL
P06744	GPI
P06753	TPM3
P06858	LPL
P06865	HEXA
P07101	TH
P07195	LDHB
P07196	NEFL
P07202	TPO
P07204	THBD
P07225	PROS1
P07237	P4HB
P07315	CRYGC
P07320	CRYGD
P07333	CSF1R
P07339	CTSD
P07359	GP1BA
P07437	TUBB
P07477	PRSS1
P07510	CHRNG
P07602	PSAP
P07686	HEXB
P07737	PFN1
P07738	BPGM
P07741	APRT
P07902	GALT
P07911	UMOD
P07949	RET
P07951	TPM2
P07954	FH
P07988	SFTPB
P07992	ERCC1
P08034	GJB1
P08069	IGF1R
P08100	RHO
P08123	COL1A2
P08185	SERPINA6
P08235	NR3C2
P08236	GUSB
P08237	PFKM
P08243	ASNS
P08246	ELANE
P08247	SYP
P08253	MMP2
P08397	HMBS
P08514	ITGA2B
P08559	PDHA1
P08572	COL4A2
P08574	CYC1
P08581	MET
P08590	MYL3
P08603	CFH
P08637	FCGR3A
P08670	VIM
P08686	CYP21A2
P08697	SERPINF2
P08709	F7
P08754	GNAI3
P08779	KRT16
P08842	STS
P08865	RPSA
P08F94	PKHD1
P09001	MRPL3
P09172	DBH
P09417	QDPR
P09467	FBP1
P09471	GNAO1
P09486	SPARC
P09493	TPM1
P09619	PDGFRB
P09622	DLD
P09651	HNRNPA1
P09848	LCT
P09936	UCHL1
P0C7P3	SLFN14
P0CG37	CFC1
P0CW18	PRSS56
P0DI81	TRAPPC2
P10070	GLI2
P10071	GLI3
P10253	GAA
P10275	AR
P10589	NR2F1
P10600	TGFB3
P10619	CTSA
P10636	MAPT
P10643	C7
P10644	PRKAR1A
P10721	KIT
P10745	RBP3
P10746	UROS
P10809	HSPD1
P10826	RARB
P10827	THRA
P10828	THRB
P10912	GHR
P10916	MYL2
P11055	MYH3
P11150	LIPC
P11161	EGR2
P11166	SLC2A1
P11168	SLC2A2
P11172	UMPS
P11177	PDHB
P11182	DBT
P11217	PYGM
P11230	CHRNB1
P11277	SPTB
P11310	ACADM
P11362	FGFR1
P11413	G6PD
P11473	VDR
P11487	FGF3
P11488	GNAT1
P11498	PC
P11511	CYP19A1
P11532	DMD
P11586	MTHFD1
P11597	CETP
P11678	EPX
P11686	SFTPC
P11802	CDK4
P12004	PCNA
P12034	FGF5
P12035	KRT3
P12081	HARS1
P12107	COL11A1
P12109	COL6A1
P12110	COL6A2
P12111	COL6A3
P12235	SLC25A4
P12259	F5
P12271	RLBP1
P12272	PTHLH
P12644	BMP4
P12694	BCKDHA
P12755	SKI
P12830	CDH1
P12883	MYH7
P12955	PEPD
P13051	UNG
P13224	GP1BB
P13473	LAMP2
P13497	BMP1
P13498	CYBA
P13533	MYH6
P13535	MYH8
P13569	CFTR
P13637	ATP1A3
P13639	EEF2
P13645	KRT10
P13646	KRT13
P13647	KRT5
P13686	ACP5
P13716	ALAD
P13804	ETFA
P13866	SLC5A1
P13929	ENO3
P13942	COL11A2
P13987	CD59
P14136	GFAP
P14138	EDN3
P14222	PRF1
P14324	FDPS
P14410	SI
P14598	NCF1
P14653	HOXB1
P14672	SLC2A4
P14678	SNRPB
P14679	TYR
P14770	GP9
P14854	COX6B1
P14867	GABRA1
P14868	DARS1
P14923	JUP
P15056	BRAF
P15104	GLUL
P15153	RAC2
P15169	CPN1
P15259	PGAM2
P15260	IFNGR1
P15289	ARSA
P15313	ATP6V1B1
P15382	KCNE1
P15428	HPGD
P15509	CSF2RA
P15529	CD46
P15538	CYP11B1
P15586	GNS
P15735	PHKG2
P15814	IGLL1
P15848	ARSB
P15863	PAX1
P15882	CHN1
P15884	TCF4
P15918	RAG1
P15924	DSP
P15976	GATA1
P16144	ITGB4
P16157	ANK1
P16219	ACADS
P16234	PDGFRA
P16278	GLB1
P16389	KCNA2
P16410	CTLA4
P16422	EPCAM
P16435	POR
P16452	EPB42
P16471	PRLR
P16473	TSHR
P16499	PDE6A
P16615	ATP2A2
P16671	CD36
P16885	PLCG2
P16930	FAH
P17050	NAGA
P17302	GJA1
P17405	SMPD1
P17612	PRKACA
P17643	TYRP1
P17661	DES
P17735	TAT
P17787	CHRNB2
P17813	ENG
P17900	GM2A
P18074	ERCC2
P18077	RPL35A
P18206	VCL
P18507	GABRG2
P18564	ITGB6
P18850	ATF6
P19013	KRT4
P19099	CYP11B2
P19235	EPOR
P19367	HK1
P19429	TNNI3
P19438	TNFRSF1A
P19447	ERCC3
P19544	WT1
P19634	SLC9A1
P19878	NCF2
P19971	TYMP
P20594	NPR2
P20711	DDC
P20794	MAK
P20807	CAPN3
P20823	HNF1A
P20839	IMPDH1
P20908	COL5A1
P20933	AGA
P20936	RASA1
P21281	ATP6V1B2
P21333	FLNA
P21359	NF1
P21397	MAOA
P21439	ABCB4
P21549	AGXT
P21579	SYT1
P21583	KITLG
P21589	NT5E
P21695	GPD1
P21731	TBXA2R
P21802	FGFR2
P21817	RYR1
P21912	SDHB
P21953	BCKDHB
P22033	MMUT
P22105	TNXB
P22223	CDH3
P22304	IDS
P22309	UGT1A1
P22310	UGT1A4
P22314	UBA1
P22413	ENPP1
P22455	FGFR4
P22466	GAL
P22557	ALAS2
P22607	FGFR3
P22612	PRKACG
P22626	HNRNPA2B1
P22674	CCNO
P22681	CBL
P22695	UQCRC2
P22735	TGM1
P22748	CA4
P22830	FECH
P22888	LHCGR
P22914	CRYGS
P23025	XPA
P23109	AMPD1
P23258	TUBG1
P23284	PPIB
P23352	ANOS1
P23378	GLDC
P23409	MYF6
P23415	GLRA1
P23526	AHCY
P23560	BDNF
P23760	PAX3
P23769	GATA2
P23771	GATA3
P23786	CPT2
P23942	PRPH2
P23945	FSHR
P23975	SLC6A2
P24043	LAMA2
P24386	CHM
P24468	NR2F2
P24530	EDNRB
P24557	TBXAS1
P24752	ACAT1
P24821	TNC
P25054	APC
P25067	COL8A2
P25092	GUCY2C
P25101	EDNRA
P25189	MPZ
P25445	FAS
P25686	DNAJB2
P25705	ATP5F1A
P25942	CD40
P25963	NFKBIA
P26006	ITGA3
P26358	DNMT1
P26367	PAX6
P26439	HSD3B2
P26440	IVD
P26678	PLN
P26842	CD27
P26998	CRYBB3
P27352	CBLIF
P27539	GDF1
P27544	CERS1
P27635	RPL10
P27708	CAD
P27918	CFP
P27986	PIK3R1
P28062	PSMB8
P28069	POU1F1
P28328	PEX2
P28329	CHAT
P28331	NDUFS1
P28340	POLD1
P28347	TEAD1
P28358	HOXD10
P28360	MSX1
P28472	GABRB3
P28715	ERCC5
P28799	GRN
P29033	GJB2
P29120	PCSK1
P29317	EPHA2
P29323	EPHB2
P29371	TACR3
P29400	COL4A5
P29965	CD40LG
P29973	CNGA1
P29992	GNA11
P30038	ALDH4A1
P30084	ECHS1
P30153	PPP2R1A
P30279	CCND2
P30301	MIP
P30518	AVPR2
P30531	SLC6A1
P30556	AGTR1
P30566	ADSL
P30613	PKLR
P30793	GCH1
